SalesID,SalesPrice
1227829,19289.762934777642
1227844,27799.07644094934
1227847,51209.283713914956
1227848,83604.54765472622
1227863,42532.06081200598
1227870,27710.691195767347
1227871,26044.390715085567
1227879,13763.707265864183
1227880,14444.120269638659
1227881,42413.4303088368
1227882,49382.87778006307
1227883,47186.75127119612
1227885,44888.843003168644
1227886,49594.415080134626
1227887,25053.502680093017
1227888,24957.97598456632
1227905,25530.238484438065
1227910,49738.2263377379
1227911,31759.44892167087
1227912,40742.438419656915
1227913,28237.14140488424
1227914,35516.27773556974
1227917,12673.299263469959
1227918,31256.805130851866
1227920,12751.458605586755
1227924,28756.58823396993
1227925,25355.568154767738
1227930,12935.151511478718
1227933,18469.847819605693
1227942,16916.047301889397
1227949,29135.469884214417
1227972,15840.176733620887
1227976,47067.023705752705
1227977,13396.691426337436
1227979,47262.865412482
1227980,13515.791285714087
1227988,18528.910417998013
1227990,13994.544776581242
1227991,18344.155728243328
1227992,21127.357942944076
1227994,32976.75193678869
1227997,18292.727156814755
1228007,44080.232220277394
1228012,75398.91313896189
1228019,73602.77857261788
1228031,22575.72139374398
1228040,60460.98069635167
1228042,19705.3346638189
1228046,12707.159708295696
1228049,29465.125859496053
1228050,32303.995141207626
1228056,12038.818269965324
1228061,26844.96023409364
1228065,9436.120223497326
1228069,8047.483074931606
1228071,61634.78626225365
1228072,59196.08536697712
1228075,26742.579285502077
1228076,29407.503758787894
1228089,44166.37452475162
1228104,18519.30654899751
1228105,56553.750096192336
1228107,36116.07658736779
1228113,50609.39747810547
1228117,42502.68866602585
1228119,48678.661155837624
1228122,38701.739651540905
1228123,77061.57106164146
1228124,12675.121568382601
1228129,29790.138929173074
1228130,61618.30925465354
1228131,58223.98966696234
1228134,40048.83838184398
1228135,29406.562587855657
1228136,34999.91875409837
1228142,15702.352676909923
1228145,43217.01356183501
1228149,28865.831491233475
1228150,31073.79780318458
1228152,41633.996075353214
1228153,22371.247300318722
1228155,10666.907628844076
1228156,47598.33651817371
1228157,52132.09222834639
1228158,40743.278034757015
1228160,25617.800120222917
1228161,23895.58887033834
1228168,14473.889459919914
1228179,24527.959727305843
1228182,25217.968207737642
1228183,12103.155586710207
1228188,58172.52927867711
1228192,24770.292983743613
1228195,26979.78822933602
1228197,41391.61496292042
1228198,19866.700859353066
1228200,14611.054290597356
1228203,18615.231504897994
1228214,41615.804109464305
1228217,23253.19489661832
1228219,46147.447905910616
1228222,13257.20589865392
1228225,13581.6575430063
1228228,14848.310760084918
1228229,15340.278732588607
1228231,15494.357721993225
1228236,15200.0689610343
1228237,14072.942278601424
1228238,26394.831238206243
1228244,12099.669528945833
1228245,26869.23610633065
1228247,19232.362143228653
